salaryID,yearsatcompany,totalyearlycompensation,basesalary,stockgrantvalue,bonus
1,1.5,127000,107000,20000,10000
2,3,100000,0,0,0
3,0,310000,155000,0,0
4,5,372000,157000,180000,35000
5,3,157000,0,0,0
6,8.5,208000,0,0,0
7,11,300000,180000,65000,55000
8,4,156000,135000,8000,13000
9,1,120000,0,0,0
10,6,201000,157000,26000,28000
11,3,450000,230000,100000,45000
12,3,155000,126000,0,0
13,10,150000,0,0,0
14,7,191000,152000,17000,22000
15,1,287000,160000,0,0
16,0,218000,150000,7000,61000
17,1,168000,0,0,0
18,1,160000,0,0,0
19,2,50000,0,0,0
20,9,195000,0,0,0
21,7,155000,125000,30000,15000
22,15,462000,240000,150000,72000
23,12,300000,158000,142000,0
24,12,430000,220000,210000,0
25,6,220000,0,0,0
26,1,250000,180000,25000,30000
27,2,200000,140000,40000,20000
28,6,190000,150000,30000,17000
29,4,300000,155000,112000,33000
30,12,440000,0,0,0
31,7,205000,138000,67000,0
32,2,340000,340000,0,0
33,2,120000,95000,80000,8000
34,2,170000,93000,77000,1000
35,2,161000,0,0,0
36,1,342000,202000,102000,38000
37,0,200000,0,0,0
38,1,210000,166000,20000,24000
39,9,325000,191000,90000,43000
40,17,910000,270000,500000,140000
41,1,250000,160000,225000,150000
42,2,520000,200000,300000,20000
43,1.25,298000,160000,0,0
44,3,350000,215000,90000,45000
45,1,200000,0,0,0
46,1,88000,0,0,0
47,1,320000,210000,80000,30000
48,1,410000,0,0,0
49,1,190000,140000,150000,14000
50,2,170000,123000,37000,1000
51,3,270000,150000,120000,0
52,3,150000,0,0,0
53,2,195000,0,0,0
54,2,184000,124000,200000,10000
55,2,270000,160000,110000,0
56,0.5,132000,0,0,0
57,3,120000,72000,48000,0
58,4,325000,160000,0,0
59,4,188000,124000,64000,0
60,2,172000,132000,40000,0
61,1,140000,101000,90000,33000
62,1,200000,150000,120000,40000
63,6.5,183000,137500,46000,0
64,9,230000,165000,0,30000
65,2,210000,130000,50000,30000
66,2,240000,162000,300000,16200
67,5,285000,145000,140000,0
68,5,210000,165000,175000,25000
69,6,470000,230000,170000,65000
70,4,260000,165000,29000,28000
71,3,430000,200000,0,30000
72,3,350000,180000,143000,27000
73,2,430000,0,0,0
74,5,560000,0,0,0
75,7,342000,0,0,0
76,2,625000,160000,460000,0
77,0,196000,147000,120000,0
78,13,245000,180250,27700,26250
79,1,305000,180000,60000,65000
80,5,310000,200000,35000,75000
81,1,600000,215000,1000000,40000
82,5,110000,96000,4000,10000
83,1,365000,178000,175000,55000
84,0,150000,106000,65000,46000
85,4,690000,200000,450000,40000
86,9,200000,0,0,0
87,0,275000,160000,91000,24000
88,0,245000,155000,185000,80000
89,6,125000,100000,10000,15000
90,2,150000,0,0,0
91,4,330000,150000,600000,40000
92,3,212000,132000,80000,0
93,0,156000,112000,3000,41000
94,1,385000,215000,120000,50000
95,0,158000,116000,25000,17000
96,1,148000,0,0,0
97,1,273000,131000,112000,30000
98,1,240000,150700,120000,40000
99,3.5,268000,142000,100000,26000
100,4,290000,160000,130000,0
101,1,400000,190000,200000,0
102,1,125000,120000,0,5000
103,5.5,178000,132000,48000,0
104,1,377000,185000,173000,19000
105,1,250000,160000,70000,16000
106,1,165000,135000,25000,5000
107,8,90000,0,0,0
108,1,250000,160000,55000,35000
109,0,166000,116000,32500,17500
110,0,150000,12500,25000,10000
111,3,164000,134000,15000,15000
112,10,220000,164000,28000,28000
113,0,345000,0,0,0
114,2,500000,170000,110000,220000
115,6,120000,78000,40000,2000
116,4,295000,160000,135000,0
117,5,30000,0,0,0
118,0,110000,95000,0,5000
119,5,500000,183000,317000,0
120,2,179000,125000,140000,25000
121,3,150000,0,0,0
122,0,144000,106000,3000,35000
123,0,154000,108000,35000,11000
124,19,276000,180000,20000,66000
125,1,220000,0,0,0
126,3.5,225000,0,0,0
127,7,320000,160000,160000,0
128,3,354000,180000,139000,35000
129,4,640000,250000,300000,90000
130,2,350000,0,0,0
131,3,500000,0,0,0
132,3,149000,129000,10000,10000
133,0.25,145000,106000,3250,35500
134,2,280000,150000,300000,100000
135,0,170000,125000,5000,39000
136,2.5,360000,175000,160000,30000
137,1,180000,140000,20000,20000
138,1,230000,145000,70000,15000
139,3,290000,170000,90000,30000
140,7,1120000,252000,790000,78000
141,3,450000,190000,260000,30000
142,5,240000,170000,70000,0
143,0,171000,125000,36000,10000
144,3,450000,0,0,0
145,2,240000,180000,30000,30000
146,6,324000,170000,113000,17000
147,3,150000,107000,33000,10000
148,5,350000,185000,165000,0
149,2,202000,149000,25000,28000
150,4,138000,130000,0,8000
151,3,320000,150000,140000,30000
152,2,350000,200000,75000,110000
153,4,230000,131000,100000,0
154,1.5,245000,140000,88000,17000
155,0,127000,127000,0,0
156,6,386000,210000,100000,50000
157,2,350000,177000,110000,26000
158,3.5,567000,540000,27000,0
159,0,163000,108000,30000,25000
160,2,320000,0,0,0
161,3.5,460000,0,0,0
162,5,560000,0,0,0
163,2,160000,140000,10000,10000
164,0,213000,0,0,0
165,5,220000,160000,40000,20000
166,8,295000,175000,33000,63000
167,9,295000,175000,72000,48000
168,0,190000,155000,140000,73000
169,0,235000,160000,180000,120000
170,3,210000,168000,0,0
171,6,334000,160000,174000,1000
172,5.5,293000,0,0,0
173,1,275000,170000,105000,0
174,3,675000,250000,363000,62000
175,0,217000,140000,56000,21000
176,0,155000,107000,38000,11000
177,1,430000,0,0,0
178,2,250000,180000,150000,90000
179,3,84000,80000,100,4000
180,2,323000,0,0,0
181,2.5,244000,145000,99000,0
182,1.5,400000,155000,145000,100000
183,0,108000,100000,0,8000
184,1,124000,124000,0,0
185,1,225000,0,0,0
186,0,200000,0,0,0
187,3,290000,0,0,0
188,1,199000,140000,45000,14000
189,3,517000,207000,260000,41000
190,13,450000,150000,300000,1000
191,2,170000,135000,20000,15000
192,1,170000,120000,40000,10000
193,4,270000,185000,60000,36000
194,3.8,191000,134500,56000,0
195,2,550000,0,0,0
196,3.5,280000,168200,95000,16800
197,5,180000,132000,48000,0
198,0,190000,120000,50000,20000
199,3,151000,130000,9000,12000
200,2,410000,188000,220000,30000
201,5,182000,136000,8000,15000
202,1,259000,179000,60000,20000
203,5,220000,0,0,0
204,1,440000,200000,200000,40000
205,1,170000,145000,0,30000
206,1,300000,0,0,0
207,3,350000,160000,190000,0
208,5,320000,165000,140000,16500
209,8,175000,142000,20000,12000
210,0,430000,0,0,0
211,7,550000,550000,0,0
212,2,246000,142000,88000,14000
213,11,400000,120000,310000,30000
214,9,260000,120000,115000,25000
215,1,460000,140000,290000,30000
216,1,170000,120000,50000,0
217,1,320000,0,0,0
218,1,314000,190000,105000,19000
219,1,395000,190000,175000,60000
220,2,350000,200000,100000,50000
221,2,230000,130000,72000,28000
222,0,520000,210000,200000,42000
223,1,168000,130000,150000,0
224,0.5,157000,107000,38000,10000
225,3,150000,128000,6000,16000
226,2,150000,120000,20000,10000
227,4,220000,0,0,0
228,1,350000,0,0,0
229,3,200000,125000,75000,0
230,1,200000,140000,37000,20000
231,8,246000,109000,137000,0
232,3,650000,0,0,0
233,2,300000,220000,40000,40000
234,4,300000,0,0,0
235,4,450000,175000,230000,40000
236,1.5,185000,120000,40000,25000
237,0,240000,150000,90000,0
238,3,80000,75000,79000,9000
239,1,350000,160000,0,0
240,2,225000,155000,0,0
241,3,430000,170000,230000,30000
242,0,325000,325000,0,0
243,4,218000,145000,0,0
244,0.5,147000,107000,30000,10000
245,2,124000,114000,0,10000
246,0,165000,123000,5000,39000
247,2,720000,0,0,0
248,10,210000,0,0,0
249,9,170000,0,0,0
250,2,481000,0,0,0
251,0,190000,120000,50000,20000
252,2,471000,209000,262000,0
253,3,188000,148000,20000,18000
254,0,320000,170000,125000,26000
255,1,190000,149000,18500,22500
256,2,480000,170000,280000,30000
257,1,308000,0,0,0
258,2,270000,160000,18000,100000
259,5,315000,185000,130000,0
260,6,260000,0,0,0
261,0,148000,108000,120000,10000
262,1,180000,140000,0,40000
263,2,120000,110000,4000,11000
264,1,650000,0,0,0
265,4,140000,130000,0,10000
266,2,172000,142000,30000,0
267,2,325000,161000,140000,25000
268,1,266000,190000,38000,38000
269,1,194000,148000,105000,70000
270,0,150000,118000,5000,12000
271,4,640000,210000,380000,50000
272,0,189000,140000,0,49000
273,0,230000,140000,75000,15000
274,0,150000,0,0,0
275,3,128000,123000,5000,0
276,1,176000,126000,25000,20000
277,5,150000,150000,0,0
278,0,205000,185000,0,20000
279,1,275000,180000,100000,25000
280,1,160000,130000,0.001,30000
281,2,207000,134000,73000,0
282,2,162000,142000,20000,0
283,6,170000,0,0,0
284,1.5,164000,0,0,0
285,1,229000,156000,12000,61000
286,2,707000,160000,347000,200000
287,7,345000,155000,190000,0
288,0,160000,130000,17000,13000
289,2,535000,215000,830000,50000
290,0,270000,175000,300000,17500
291,6,240000,0,0,0
292,2,225000,130000,60000,25000
293,10,210000,160000,30000,20000
294,3,72000,72000,0,0
295,1,300000,0,0,0
296,3,300000,188000,50000,30000
297,0,163000,135000,0,0
298,1,320000,0,0,0
299,2,330000,160000,170000,0
300,8,250000,200000,0,50000
301,3,174000,132000,22000,20000
302,0,250000,175000,0,75000
303,7,975000,160000,815000,0
304,4,161000,130000,22000,19000
305,0,207750,175000,0,25000
306,0,200000,125000,50000,25000
307,13,357000,201000,100000,50000
308,2,255000,0,0,0
309,4,280000,16100,5100,6800
310,0,216000,145000,216000,60000
311,2,125000,125000,0,0
312,5,120000,0,0,0
313,10,42000,36000,0,8000
314,5,230000,130000,100000,0
315,5.5,277000,156000,121000,0
316,2.5,230000,124000,79500,26600
317,1,230000,134000,69000,27000
318,8.5,229000,170000,29000,29000
319,10,208000,155000,25000,28000
320,2,160000,0,0,0
321,4,305000,250000,50000,50000
322,1,185000,134000,30000,21000
323,3,470000,215000,0,0
324,0,150000,107000,30000,10000
325,10,600000,210000,350000,150000
326,1,245000,168000,160000,28560
327,8,240000,0,0,0
328,5,397000,202000,182000,15000
329,3.5,749000,247000,430000,70000
330,3,190000,115000,75000,0
331,0,143000,105000,22500,16000
332,5,247000,122000,125000,0
333,3,245000,162000,83000,0
334,3,300000,160000,140000,0
335,11,210000,164000,24000,21000
336,1.5,315000,191000,78000,60000
337,7,320000,0,0,0
338,2,125000,105000,10000,10000
339,4,205000,135000,60000,10000
340,1,180000,145000,11000,25000
341,8,650000,0,0,0
342,0,199000,135000,44000,20000
343,0,154000,140000,0,14000
344,18,210000,162000,24000,24000
345,3,200000,150000,50000,10000
346,0,131000,131000,0,0
347,6,330000,160000,140000,30000
348,3,660000,0,0,0
349,0,181000,147000,75000,40000
350,0,220000,150000,10000,60000
351,5,190000,150000,0,40000
352,2,175000,141000,10000,24000
353,0,346000,330000,16000,0
354,0,288000,180000,264000,160000
355,5,293000,183000,60000,50000
356,0,135750,120000,15000,12000
357,5,238000,178000,35000,25000
358,2,255000,163000,32000,45000
359,1,300000,185000,115000,0
360,2.5,196000,153000,15000,28000
361,4,270000,144000,126000,0
362,1,230000,155000,80000,15000
363,20,350000,190000,75000,38000
